column,outlier_count,outlier_ratio,median,mad
au4_duration_ratio__slope,59615,0.33119444444444446,-6.233809274955739e-06,9.759024459054426e-05
head_motion_energy__slope,58796,0.32664444444444446,0.0001088519583391,0.0126303718454289
au4_mean_activation__slope,57953,0.3219611111111111,0.0,0.000333876278691
au15_mean_amplitude__slope,57437,0.31909444444444446,-4.229122834023051e-07,4.357371399808231e-05
response_latency_mean__mean,57369,0.31871666666666665,17.53312605333898,17.53312605333898
mean_head_velocity__slope,56563,0.3142388888888889,3.8005054698089257e-07,0.00036235621827143086
lip_compression_frequency__slope,56192,0.3121777777777778,0.0,6.419167492352834e-05
gesture_frequency__slope,54046,0.30025555555555555,1.9235815204622983e-06,0.00025952866908215
overall_au_variance__mean,52315,0.2906388888888889,0.040064439139952154,0.036908603905368306
head_velocity_peak__slope,51511,0.2861722222222222,0.0,0.0026407453630809003
au12_activation_frequency__slope,51160,0.2842222222222222,0.0,0.00021782548205715
posture_rigidity_index__slope,51080,0.2837777777777778,-6.201308535230441e-06,0.00020478590723571957
au12_activation_frequency__mean,50994,0.2833,0.20360239099026786,0.027234833460276067
head_velocity_peak__mean,50202,0.2789,3.4916171241971914,0.3269927058498927
pause_duration_mean__mean,49703,0.2761277777777778,0.881578947368421,0.2529353286676796
head_velocity_peak__min,49306,0.27392222222222223,0.1223573415709711,0.1223573415709711
response_latency_mean__slope,48256,0.2680888888888889,0.0,0.00902205837109485
au12_variance__slope,46367,0.25759444444444446,-2.3500796737972442e-07,1.1321230965205778e-05
lip_compression_frequency__mean,46000,0.25555555555555554,0.080434998198048,0.080434998198048
speech_onset_delay__slope,45334,0.25185555555555555,0.0,0.0209953776205272
blink_duration__slope,45130,0.25072222222222224,-7.850320928315374e-23,0.00010210359164100001
micro_motion_energy__slope,44385,0.24658333333333332,0.0001140423950985,0.02854143658279485
extended_silence_ratio__slope,42619,0.23677222222222222,0.0,0.00012581434097455
blink_rate__std,41112,0.2284,0.10356032493868975,0.10356032493868975
pause_duration_mean__slope,39914,0.22174444444444444,0.0,0.0001727153320277
gesture_frequency__range,38923,0.2162388888888889,0.0999999999999999,0.0323016413080722
nod_onset_latency__slope,38476,0.21375555555555556,0.0,0.0006360472381211
gesture_frequency__std,38326,0.21292222222222223,0.03117484379871615,0.00815146273860825
gaze_shift_frequency__min,36714,0.20396666666666666,1.0,0.2106760232122229
au15_mean_amplitude__mean,34912,0.19395555555555555,0.0128915850235905,0.0013214848578489
au12_variance__mean,33336,0.1852,0.0008765248271564499,0.00033521312040854994
facial_emotional_range__mean,32692,0.1816222222222222,0.013724251010949751,0.00207448640974915
au12_variance__max,30744,0.1708,0.0030145674763193,0.00192889975471025
au12_variance__std,30487,0.16937222222222223,0.00077931097380175,0.0006197835046892
au15_mean_amplitude__std,30430,0.16905555555555554,0.0020580179408992,0.00048794333758744976
au12_variance__range,30375,0.16875,0.0030107078280088,0.0023973329211969497
overall_au_variance__std,30190,0.16772222222222222,0.05557308818960735,0.055268189861436945
lip_compression_frequency__std,30000,0.16666666666666666,0.0456026838730943,0.03861040196854065
lip_compression_frequency__range,30000,0.16666666666666666,0.1666666699999999,0.1414094025730645
au15_mean_amplitude__max,30000,0.16666666666666666,0.0187413079990481,0.0036519879990481
au1_au2_peak_intensity__std,30000,0.16666666666666666,0.0034750979719395,0.00225514216996285
response_latency_mean__range,30000,0.16666666666666666,37.96425143369514,37.96425143369514
mean_head_velocity__range,30000,0.16666666666666666,0.0644623344719737,0.049386544471973805
head_motion_energy__max,30000,0.16666666666666666,6.95207708,4.4607994699999995
head_motion_energy__range,30000,0.16666666666666666,3.8743220531028433,3.7766162631028433
head_motion_energy__std,30000,0.16666666666666666,1.221137811796747,1.2063640907047017
eye_contact_ratio__min,30000,0.16666666666666666,0.7239035385362577,0.1256963414637423
response_latency_mean__max,30000,0.16666666666666666,55.68494506689723,54.95237852689723
response_latency_mean__std,30000,0.16666666666666666,10.895498163306037,10.895498163306037
mean_head_velocity__max,30000,0.16666666666666666,0.11826679,0.05197549278413255
mean_head_velocity__std,30000,0.16666666666666666,0.0168042543367177,0.0127393387602944
au15_mean_amplitude__range,30000,0.16666666666666666,0.0100840434634028,0.0029979661149829497
au1_au2_peak_intensity__range,29662,0.1647888888888889,0.0155267573114554,0.010407057311455501
au1_au2_peak_intensity__max,28023,0.15568333333333334,0.0439356816885002,0.005947205801190701
reaction_time_instability_index__mean,25459,0.1414388888888889,0.7459152573543086,0.7456055085990967
downward_gaze_frequency__min,23049,0.12805,0.26666667,0.26666667
au4_mean_activation__std,21861,0.12145,0.01070570268995355,0.01070570268995355
blink_cluster_density__mean,18903,0.10501666666666666,0.12421706543593886,0.0364839990197807
blink_duration__mean,18752,0.10417777777777777,0.30957415505542885,0.019622722504798962
au4_mean_activation__range,15703,0.0872388888888889,0.04380946679365335,0.04380946679365335
micro_motion_energy__range,14545,0.08080555555555556,84.86185662317429,24.931732222181267
micro_motion_energy__max,14545,0.08080555555555556,84.86185662317429,24.931732222181267
overall_au_variance__slope,14173,0.07873888888888889,1.141928898068002e-05,0.00022727732582623002
landmark_displacement_mean__max,10864,0.06035555555555556,0.0303817142497511,0.0083025017874667
landmark_displacement_mean__range,10799,0.05999444444444445,0.0303817142497511,0.0083025017874667
reaction_time_instability_index__max,10020,0.05566666666666667,1.0,0.9979616624753596
micro_motion_energy__std,9392,0.052177777777777774,19.186088140355892,6.516538879998448
gaze_shift_frequency__std,8727,0.04848333333333334,0.033482891726161645,0.033482891726161645
landmark_displacement_mean__std,8473,0.047072222222222224,0.00690537247040705,0.00168952207695455
baseline_eye_openness__std,5367,0.02981666666666667,0.07450472959861659,0.009879551309871656
blink_rate__range,3950,0.021944444444444444,0.991118194884042,0.8267971962941459
baseline_eye_openness__mean,2684,0.014911111111111111,0.3721477250990989,0.03357751695354075
lip_compression_frequency__max,2324,0.012911111111111111,0.2102056319324503,0.1768723019324503
au4_duration_ratio__mean,2232,0.0124,0.9666274555823045,0.004388868875080332
facial_emotional_range__min,1068,0.005933333333333333,0.0059345252973001,0.0038697790878076
pause_duration_mean__std,841,0.004672222222222223,0.2551740425070672,0.20786449258217593
facial_emotional_range__std,834,0.004633333333333333,0.00125416809890395,0.001216728883448296
near_zero_au_activation_ratio__mean,802,0.0044555555555555555,0.9673938915272452,0.011071849721854321
au12_mean_amplitude__std,616,0.0034222222222222223,0.00511855597210655,0.0018486225201714503
baseline_eye_openness__range,535,0.002972222222222222,0.3451434433746391,0.060290205929654506
au15_mean_amplitude__min,482,0.0026777777777777776,0.0081590963358364,0.0023407636641636
mean_head_velocity__min,315,0.00175,0.0392369470458053,0.0392369470458053
blink_duration__min,283,0.0015722222222222223,0.2371666102231483,0.05307734628391461
au4_mean_activation__min,206,0.0011444444444444445,0.9384051,0.06159490000000001
baseline_eye_openness__max,204,0.0011333333333333334,0.5208018902276574,0.04811003022765742
speech_onset_delay__mean,203,0.0011277777777777777,55.409303215692105,21.222010255753077
gaze_shift_frequency__range,191,0.0010611111111111112,0.1999999999999997,0.1999999999999997
micro_motion_energy__mean,183,0.0010166666666666666,13.401837367713739,5.26454714553407
au4_mean_activation__mean,178,0.000988888888888889,0.96199117472969,0.014726582049527814
overall_au_variance__max,174,0.0009666666666666667,0.1998328112190437,0.1959404612190437
overall_au_variance__range,166,0.0009222222222222222,0.1964020293220778,0.19565921234831798
au4_duration_ratio__min,0,0.0,0.94182852,0.020193993878377725
au4_duration_ratio__max,0,0.0,0.9854345568472872,0.014565443152712798
au12_activation_frequency__max,0,0.0,0.4958711988969576,0.21253786889695758
