group_feature,lower,upper,rows_clipped,low_q,high_q
anxiety:blink_rate__min,2.0,26.0,253,0.005,0.995
anxiety:blink_rate__max,2.0,28.0,0,0.005,0.995
anxiety:blink_rate__range,0.0,6.0,67,0.005,0.995
anxiety:blink_rate__slope,-1.0841208930446578,1.1144096133459078,600,0.01,0.99
anxiety:blink_duration__mean,0.17137589556823,0.3955146315611992,300,0.005,0.995
anxiety:blink_duration__std,0.0,0.04093437663187734,150,0.005,0.995
anxiety:blink_duration__min,0.16848493,0.38759892,176,0.005,0.995
anxiety:blink_duration__max,0.17173803,0.40620658,0,0.005,0.995
anxiety:blink_duration__range,0.0,0.06524011,149,0.005,0.995
anxiety:blink_duration__slope,-0.004466668979031236,0.014667392102677987,600,0.01,0.99
anxiety:blink_cluster_density__mean,0.0166666699999999,0.26666667,124,0.005,0.995
anxiety:blink_cluster_density__std,0.0,0.02555370446112684,150,0.005,0.995
anxiety:blink_cluster_density__min,0.01666667,0.26666667,131,0.005,0.995
anxiety:blink_cluster_density__max,0.01666667,0.26666667,0,0.005,0.995
anxiety:blink_cluster_density__range,0.0,0.08333333,127,0.005,0.995
anxiety:blink_cluster_density__slope,-0.014657468918596386,0.014261210263570101,600,0.01,0.99
anxiety:eye_contact_ratio__mean,0.653298189067917,0.9095769312811134,300,0.005,0.995
anxiety:eye_contact_ratio__std,0.001040387254406956,0.05240314427794193,300,0.005,0.995
anxiety:eye_contact_ratio__min,0.63379866,0.89766001,131,0.005,0.995
anxiety:eye_contact_ratio__max,0.7064444147476557,0.92023582,150,0.005,0.995
anxiety:eye_contact_ratio__range,0.0,0.12660956110755,150,0.005,0.995
anxiety:eye_contact_ratio__slope,-0.0277454730734365,0.03098869196256948,600,0.01,0.99
anxiety:downward_gaze_frequency__mean,0.2952626438191429,2.379257307433578,300,0.005,0.995
anxiety:downward_gaze_frequency__std,2.2417016344387017e-16,0.10686230104752899,300,0.005,0.995
anxiety:downward_gaze_frequency__min,0.15778347937057496,2.33333333,212,0.005,0.995
anxiety:downward_gaze_frequency__max,0.35,2.41666667,144,0.005,0.995
anxiety:downward_gaze_frequency__range,0.0,0.4166666699999999,145,0.005,0.995
anxiety:downward_gaze_frequency__slope,-0.05680794306868643,0.057374002596673794,600,0.01,0.99
anxiety:gaze_shift_frequency__mean,1.3372930029647196,3.0005510237517057,300,0.005,0.995
anxiety:gaze_shift_frequency__std,0.013408327940918867,0.35853283281952275,300,0.005,0.995
anxiety:gaze_shift_frequency__min,0.8,2.9000249892743,274,0.005,0.995
anxiety:gaze_shift_frequency__max,1.64,3.1,119,0.005,0.995
anxiety:gaze_shift_frequency__range,0.0,1.0800289001548444,150,0.005,0.995
anxiety:gaze_shift_frequency__slope,-0.1938548766761346,0.19487792380835456,600,0.01,0.99
anxiety:baseline_eye_openness__mean,0.25109561952184684,0.47851599308340437,300,0.005,0.995
anxiety:baseline_eye_openness__std,0.009696685378585675,0.1088666533213383,300,0.005,0.995
anxiety:baseline_eye_openness__min,0.11782991,0.42555579065305554,150,0.005,0.995
anxiety:baseline_eye_openness__max,0.35762405931656344,0.54497777,150,0.005,0.995
anxiety:baseline_eye_openness__range,0.01812371307982651,0.36255813,299,0.005,0.995
anxiety:baseline_eye_openness__slope,-0.0939349847824057,0.08460864645481606,600,0.01,0.99
anxiety:response_latency_mean__mean,0.0,164.18412868564474,150,0.005,0.995
anxiety:response_latency_mean__std,0.0,48.77981583765277,150,0.005,0.995
anxiety:response_latency_mean__min,0.0,151.57478452,88,0.005,0.995
anxiety:response_latency_mean__max,0.0,172.39587867,0,0.005,0.995
anxiety:response_latency_mean__range,0.0,117.09458526,0,0.005,0.995
anxiety:response_latency_mean__slope,-2.0276269531495664e-20,4.4208590185985575,600,0.01,0.99
anxiety:speech_onset_delay__mean,0.0,173.5388208338795,150,0.005,0.995
anxiety:speech_onset_delay__std,0.0,73.3148566628655,150,0.005,0.995
anxiety:speech_onset_delay__min,0.0,151.57478452,83,0.005,0.995
anxiety:speech_onset_delay__max,0.0,193.21697283,0,0.005,0.995
anxiety:speech_onset_delay__range,0.0,145.08278609,6,0.005,0.995
anxiety:speech_onset_delay__slope,-1.9479010597815162e-20,8.620463035516934,600,0.01,0.99
anxiety:nod_onset_latency__mean,0.0,2.662356110000001,91,0.005,0.995
anxiety:nod_onset_latency__std,0.0,0.6431002904196003,150,0.005,0.995
anxiety:nod_onset_latency__min,0.0,2.66235611,0,0.005,0.995
anxiety:nod_onset_latency__max,0.0,2.72836092,0,0.005,0.995
anxiety:nod_onset_latency__range,0.0,2.61424475,1,0.005,0.995
anxiety:nod_onset_latency__slope,-0.02803665643421112,0.1371776404969597,600,0.01,0.99
anxiety:pause_duration_mean__mean,0.0,163.03433683653424,150,0.005,0.995
anxiety:pause_duration_mean__std,0.0,48.682086760455405,150,0.005,0.995
anxiety:pause_duration_mean__min,0.0,151.57478452,85,0.005,0.995
anxiety:pause_duration_mean__max,0.0,172.39587867,0,0.005,0.995
anxiety:pause_duration_mean__range,0.0,117.09458526,0,0.005,0.995
anxiety:pause_duration_mean__slope,-2.022307537218928e-20,4.416020188267246,600,0.01,0.99
anxiety:extended_silence_ratio__mean,0.0,1.0,0,0.005,0.995
anxiety:extended_silence_ratio__std,0.0,0.31695850953415167,150,0.005,0.995
anxiety:extended_silence_ratio__min,0.0,1.0,0,0.005,0.995
anxiety:extended_silence_ratio__max,0.0,1.0,0,0.005,0.995
anxiety:extended_silence_ratio__range,0.0,1.0,0,0.005,0.995
anxiety:extended_silence_ratio__slope,0.0,0.0,261,0.01,0.99
anxiety:reaction_time_instability_index__mean,0.0,80.03423068000002,38,0.005,0.995
anxiety:reaction_time_instability_index__std,0.0,16.378200186582852,150,0.005,0.995
anxiety:reaction_time_instability_index__min,0.0,80.03423068,0,0.005,0.995
anxiety:reaction_time_instability_index__max,0.0,80.03423068,0,0.005,0.995
anxiety:reaction_time_instability_index__range,0.0,80.03423068,0,0.005,0.995
anxiety:reaction_time_instability_index__slope,-9.821071555091217e-21,4.461872676422923,600,0.01,0.99
bipolar:au12_mean_amplitude__mean,0.05272726902461154,0.07730213815929991,300,0.005,0.995
bipolar:au12_mean_amplitude__std,0.0010930137462709045,0.009369055944102806,300,0.005,0.995
bipolar:au12_mean_amplitude__min,0.04663103,0.06993620811230132,150,0.005,0.995
bipolar:au12_mean_amplitude__max,0.05673274,0.08502967,149,0.005,0.995
bipolar:au12_mean_amplitude__range,0.0006527463999999006,0.03409222,289,0.005,0.995
bipolar:au12_mean_amplitude__slope,-0.00678309424120551,0.006769400265114539,600,0.01,0.99
bipolar:au12_variance__mean,0.0002517244895473485,0.0031598645330986603,300,0.005,0.995
bipolar:au12_variance__std,6.3150880120363886e-06,0.0010598670055114486,300,0.005,0.995
bipolar:au12_variance__min,0.0001876,0.00299318,125,0.005,0.995
bipolar:au12_variance__max,0.00027206,0.0033207,108,0.005,0.995
bipolar:au12_variance__range,0.0,0.0027263102,150,0.005,0.995
bipolar:au12_variance__slope,-0.00064994107369006,0.0006551287188839165,600,0.01,0.99
bipolar:au12_activation_frequency__mean,0.0166666699999999,1.0419883736853495,150,0.005,0.995
bipolar:au12_activation_frequency__std,0.0,0.09636529335101159,150,0.005,0.995
bipolar:au12_activation_frequency__min,0.01666667,1.03333333,18,0.005,0.995
bipolar:au12_activation_frequency__max,0.01666667,1.05,0,0.005,0.995
bipolar:au12_activation_frequency__range,0.0,0.45,136,0.005,0.995
