,count,mean,std,min,1%,5%,50%,95%,99%,max,missing_count,missing_ratio,zero_ratio,n_unique,iqr
au4_duration_ratio__min,180000.0,0.9439416810811855,0.022018162274284322,0.6746717433393282,0.911599475503625,0.911599475503625,0.9418478054974632,0.975443004720912,0.9808567105702349,0.9871117206592184,0,0.0,0.0,43643,
au4_duration_ratio__range,180000.0,0.039135179834164396,0.034030578790735004,0.0,0.0,0.0,0.0492542831143927,0.0820822430961594,0.088400524496375,0.2767340403738205,0,0.0,0.08453333333333334,67622,
au4_duration_ratio__slope,180000.0,-8.099788093965848e-05,0.0018020635990919623,-0.0881280658984696,-0.002592985350709245,-0.001532861024599245,-6.233809274955739e-06,0.00151309420334199,0.0026577807703296896,0.0063978607348489,0,0.0,0.0,177965,
au4_duration_ratio__std,180000.0,0.008196271377204158,0.006876286821513298,4.596952185139674e-05,0.000220686594897291,0.00042790459668354004,0.01201748365020785,0.015862459926156886,0.01701203940878213,0.097793441482291,0,0.0,0.0,178006,
au4_mean_activation__max,180000.0,0.9917561300312728,0.011934119940864067,0.8681294237418833,0.95533185,0.9660652536565226,0.9996910999999999,1.0,1.0,1.0,0,0.0,0.0,15070,
au4_mean_activation__mean,180000.0,0.9625727043664521,0.02783889363346951,0.2372529732307686,0.9152341697935321,0.9284294547875105,0.96199117472969,1.0,1.0,1.0,0,0.0,0.0,148490,
au4_mean_activation__min,180000.0,0.8897627491715077,0.13290899481693424,-4.02518472,0.6670140295790702,0.7143141972903444,0.9384051,1.0,1.0,1.0,0,0.0,0.0,15785,
au4_mean_activation__range,180000.0,0.10199338085976516,0.13615260583623115,0.0,0.0,0.0,0.04380946679365335,0.2856858027096556,0.3329859704209298,5.010523050000001,0,0.0,0.16991111111111112,59856,
au4_mean_activation__slope,180000.0,-0.00020117864710659473,0.008958602180349008,-0.7281011763435776,-0.012929926765524107,-0.005560931390938795,0.0,0.00550580683644174,0.01328854415492933,0.047393625844304,0,0.0,0.16666666666666666,148658,
au4_mean_activation__std,180000.0,0.025601623086231807,0.03139164681977965,0.0,0.0,0.0,0.01070570268995355,0.07309809096658595,0.07654168087541108,1.0808258732562468,0,0.0,0.16666666666666666,148465,
baseline_eye_openness__max,180000.0,0.5159780490790209,0.07208591529567672,0.200377230941172,0.32661925,0.40441693,0.5208018902276574,0.63361852,0.70949268,0.7150654,0,0.0,0.0,17211,
baseline_eye_openness__mean,180000.0,0.3667168263189603,0.06899860791967945,0.162407390992926,0.2504136842441026,0.2668642757159039,0.3721477250990989,0.48735005013892496,0.5632008584837785,0.688407875549423,0,0.0,0.0,178068,
baseline_eye_openness__min,180000.0,0.19413117522444895,0.08591423643737338,0.0322980903282706,0.0322980903282706,0.0580113605570442,0.2039990558151673,0.36131031,0.41908252280367597,0.66731105,0,0.0,0.0,15587,
baseline_eye_openness__range,180000.0,0.32184687385457184,0.1008753499947629,0.0,0.067669483196157,0.13432798249999992,0.3451434433746391,0.4753227299999999,0.5103777455659682,0.5773336499999999,0,0.0,0.0010777777777777778,61365,
baseline_eye_openness__slope,180000.0,5.3825453721561536e-05,0.0258690981151509,-0.2516550348398892,-0.08073606980536893,-0.03832852745276569,1.4148260094668121e-05,0.038264296696184655,0.08694014085577886,0.2454252409513269,0,0.0,0.0,177981,
baseline_eye_openness__std,180000.0,0.07268254966773079,0.020841548563758246,0.0030827400636403,0.017867441957850772,0.03212449652812276,0.07450472959861659,0.10054903994844648,0.12662099893719242,0.2061987534119505,0,0.0,0.0,178009,
blink_cluster_density__max,180000.0,0.2624408430423267,0.11497626257406751,0.0,0.01666667,0.06666667,0.2751307990878462,0.44,0.5,0.5,0,0.0,0.0010611111111111112,3496,
blink_cluster_density__mean,180000.0,0.16433644376259732,0.09868583168229086,0.0,0.0166666699999999,0.05265233741149465,0.12421706543593886,0.41425331191172576,0.4746016538240534,0.5,0,0.0,0.0010944444444444445,149155,
